flight_date,origin,destination,airline,price,currency
2025-08-07,PMC,IQQ,JetSmart,30789,CLP
2025-08-09,LSC,SCL,LATAM,70318,CLP
2025-07-17,LSC,SCL,LATAM,77879,CLP
2025-07-12,CJC,SCL,LATAM,15701,CLP
2025-07-27,PMC,LSC,Sky,91351,CLP
2025-07-03,ANF,PMC,JetSmart,89112,CLP
2025-08-14,PMC,SCL,JetSmart,76190,CLP
2025-07-17,LSC,CJC,JetSmart,66857,CLP
2025-07-28,SCL,LSC,LATAM,54056,CLP
2025-07-18,ANF,SCL,LATAM,58495,CLP
2025-07-20,CJC,LSC,Sky,130121,CLP
2025-07-08,PMC,IQQ,JetSmart,120515,CLP
2025-07-18,CJC,LSC,Sky,129755,CLP
2025-07-06,CJC,SCL,Sky,99494,CLP
2025-08-08,IQQ,SCL,LATAM,75011,CLP
2025-08-13,CJC,LSC,LATAM,85650,CLP
2025-08-06,SCL,IQQ,Sky,130927,CLP
2025-07-18,ANF,LSC,Sky,143902,CLP
2025-07-06,PMC,IQQ,Sky,102374,CLP
2025-07-21,LSC,SCL,LATAM,101456,CLP
2025-07-27,LSC,PMC,Sky,119976,CLP
2025-08-05,SCL,CJC,LATAM,97448,CLP
2025-07-17,IQQ,SCL,Sky,149898,CLP
2025-07-01,LSC,CJC,Sky,123330,CLP
2025-07-04,ANF,LSC,Sky,145676,CLP
2025-08-10,PMC,SCL,LATAM,85007,CLP
2025-08-05,ANF,PMC,Sky,142064,CLP
2025-07-08,SCL,LSC,LATAM,56517,CLP
2025-07-20,CJC,SCL,JetSmart,121952,CLP
2025-07-06,ANF,SCL,Sky,45793,CLP
2025-08-11,ANF,CJC,JetSmart,91509,CLP
2025-08-02,LSC,IQQ,Sky,141484,CLP
2025-07-31,ANF,CJC,JetSmart,52917,CLP
2025-07-25,ANF,LSC,JetSmart,50784,CLP
2025-07-05,IQQ,CJC,Sky,148100,CLP
2025-07-18,SCL,PMC,JetSmart,93264,CLP
2025-08-07,CJC,PMC,LATAM,132059,CLP
2025-08-04,PMC,IQQ,Sky,113883,CLP
2025-07-30,IQQ,ANF,JetSmart,77601,CLP
2025-08-06,PMC,ANF,Sky,26441,CLP
2025-07-21,LSC,PMC,JetSmart,114937,CLP
2025-07-25,LSC,ANF,Sky,24704,CLP
2025-07-09,CJC,LSC,Sky,41309,CLP
2025-07-29,SCL,LSC,Sky,19023,CLP
2025-07-10,PMC,ANF,LATAM,138074,CLP
2025-07-17,IQQ,LSC,JetSmart,119197,CLP
2025-08-11,SCL,PMC,JetSmart,114617,CLP
2025-07-21,LSC,PMC,JetSmart,24410,CLP
2025-08-09,SCL,IQQ,JetSmart,90334,CLP
2025-07-15,LSC,SCL,Sky,40806,CLP
2025-08-10,LSC,SCL,Sky,58611,CLP
2025-08-14,IQQ,SCL,LATAM,100032,CLP
2025-07-04,IQQ,PMC,Sky,127901,CLP
2025-07-10,ANF,LSC,Sky,62200,CLP
2025-07-11,ANF,SCL,JetSmart,115281,CLP
2025-08-09,LSC,ANF,Sky,52517,CLP
2025-07-15,PMC,IQQ,Sky,81932,CLP
2025-08-12,SCL,CJC,Sky,56412,CLP
2025-07-05,PMC,IQQ,JetSmart,93421,CLP
2025-08-10,PMC,IQQ,Sky,94199,CLP
2025-07-13,PMC,CJC,LATAM,77182,CLP
2025-07-25,CJC,IQQ,JetSmart,92561,CLP
2025-08-14,IQQ,SCL,JetSmart,118758,CLP
2025-07-18,SCL,LSC,JetSmart,27856,CLP
2025-08-08,LSC,PMC,Sky,75324,CLP
2025-08-08,IQQ,ANF,JetSmart,64841,CLP
2025-08-09,IQQ,ANF,JetSmart,40470,CLP
2025-08-10,LSC,SCL,Sky,130559,CLP
2025-07-03,CJC,IQQ,JetSmart,49448,CLP
2025-07-06,IQQ,PMC,JetSmart,123921,CLP
2025-07-12,ANF,IQQ,JetSmart,110907,CLP
2025-08-03,CJC,IQQ,LATAM,82363,CLP
2025-07-31,IQQ,PMC,LATAM,137770,CLP
2025-07-05,ANF,IQQ,JetSmart,119179,CLP
2025-08-05,IQQ,SCL,Sky,18648,CLP
2025-07-17,CJC,SCL,Sky,111622,CLP
2025-08-13,LSC,IQQ,JetSmart,114883,CLP
2025-08-10,IQQ,SCL,JetSmart,76295,CLP
2025-07-31,SCL,LSC,JetSmart,100984,CLP
2025-08-09,ANF,SCL,JetSmart,136704,CLP
2025-08-14,IQQ,CJC,LATAM,51641,CLP
2025-07-03,SCL,PMC,Sky,45440,CLP
2025-07-07,ANF,LSC,LATAM,116881,CLP
2025-07-30,IQQ,LSC,Sky,55507,CLP
2025-07-27,LSC,SCL,Sky,121985,CLP
2025-07-18,SCL,PMC,LATAM,131230,CLP
2025-07-29,ANF,PMC,LATAM,111294,CLP
2025-08-04,LSC,IQQ,LATAM,119369,CLP
2025-07-18,ANF,SCL,Sky,39031,CLP
2025-08-12,ANF,LSC,LATAM,28258,CLP
2025-07-22,ANF,IQQ,JetSmart,68793,CLP
2025-07-05,CJC,ANF,JetSmart,71610,CLP
2025-07-15,IQQ,ANF,JetSmart,15743,CLP
2025-07-18,ANF,IQQ,JetSmart,80707,CLP
2025-07-12,SCL,ANF,LATAM,18895,CLP
2025-07-23,ANF,LSC,Sky,19136,CLP
2025-07-12,IQQ,SCL,LATAM,125352,CLP
2025-08-03,SCL,ANF,Sky,132512,CLP
2025-07-24,CJC,LSC,LATAM,133490,CLP
2025-08-02,ANF,LSC,LATAM,94070,CLP
2025-07-30,LSC,SCL,LATAM,140562,CLP
2025-07-26,PMC,SCL,Sky,131277,CLP
2025-07-05,SCL,PMC,JetSmart,53884,CLP
2025-07-05,ANF,PMC,JetSmart,100245,CLP
2025-07-25,CJC,LSC,Sky,133938,CLP
2025-08-02,CJC,PMC,LATAM,44992,CLP
2025-08-11,LSC,CJC,JetSmart,71367,CLP
2025-07-28,PMC,ANF,Sky,103848,CLP
2025-07-30,PMC,CJC,JetSmart,39926,CLP
2025-07-21,PMC,IQQ,JetSmart,81817,CLP
2025-07-24,ANF,CJC,LATAM,38914,CLP
2025-07-06,SCL,CJC,LATAM,112687,CLP
2025-07-09,CJC,SCL,JetSmart,101414,CLP
2025-08-12,SCL,CJC,Sky,125870,CLP
2025-07-04,IQQ,LSC,Sky,107181,CLP
2025-07-07,CJC,LSC,LATAM,55561,CLP
2025-08-12,PMC,ANF,LATAM,106780,CLP
2025-08-05,IQQ,SCL,Sky,74286,CLP
2025-07-28,CJC,LSC,JetSmart,21882,CLP
2025-08-08,LSC,IQQ,LATAM,62294,CLP
2025-07-18,LSC,IQQ,Sky,107018,CLP
2025-07-01,ANF,IQQ,JetSmart,120063,CLP
2025-07-05,ANF,SCL,LATAM,71395,CLP
2025-07-25,PMC,CJC,Sky,56263,CLP
2025-07-24,IQQ,PMC,JetSmart,37270,CLP
2025-07-04,ANF,IQQ,JetSmart,28044,CLP
2025-08-13,SCL,PMC,Sky,126152,CLP
2025-08-01,CJC,PMC,Sky,86609,CLP
2025-07-14,CJC,SCL,Sky,127699,CLP
2025-07-08,IQQ,LSC,Sky,95850,CLP
2025-07-03,ANF,CJC,JetSmart,29360,CLP
2025-07-01,ANF,PMC,LATAM,50975,CLP
2025-07-17,IQQ,PMC,LATAM,17026,CLP
2025-08-01,LSC,PMC,LATAM,48865,CLP
2025-07-25,CJC,ANF,JetSmart,107842,CLP
2025-07-05,PMC,SCL,Sky,19912,CLP
2025-07-30,SCL,PMC,JetSmart,127534,CLP
2025-08-06,PMC,CJC,Sky,45192,CLP
2025-07-26,SCL,PMC,LATAM,135611,CLP
2025-08-14,IQQ,SCL,Sky,42751,CLP
2025-07-16,PMC,LSC,Sky,35616,CLP
2025-07-26,IQQ,PMC,LATAM,102311,CLP
2025-07-11,SCL,LSC,JetSmart,44891,CLP
2025-08-03,CJC,ANF,Sky,107038,CLP
2025-08-11,ANF,IQQ,LATAM,53389,CLP
2025-07-17,ANF,IQQ,JetSmart,55073,CLP
2025-08-11,SCL,IQQ,JetSmart,144529,CLP
2025-07-30,CJC,LSC,Sky,99727,CLP
2025-08-10,IQQ,ANF,Sky,32900,CLP
2025-07-31,PMC,IQQ,Sky,29725,CLP
2025-07-23,CJC,SCL,Sky,136043,CLP
2025-07-29,SCL,ANF,Sky,90255,CLP
2025-07-05,LSC,SCL,JetSmart,147924,CLP
2025-07-25,PMC,LSC,JetSmart,25753,CLP
2025-07-29,CJC,ANF,Sky,139683,CLP
2025-08-02,ANF,SCL,Sky,42132,CLP
2025-07-22,LSC,SCL,JetSmart,60235,CLP
2025-07-03,ANF,CJC,Sky,56614,CLP
2025-07-24,IQQ,PMC,Sky,122156,CLP
2025-07-22,LSC,CJC,LATAM,102726,CLP
2025-07-05,IQQ,SCL,JetSmart,116335,CLP
2025-07-19,IQQ,LSC,LATAM,102388,CLP
2025-07-06,CJC,ANF,Sky,96325,CLP
2025-08-11,LSC,PMC,LATAM,37208,CLP
2025-07-20,CJC,PMC,JetSmart,101108,CLP
2025-07-09,LSC,CJC,LATAM,125993,CLP
2025-08-02,IQQ,SCL,Sky,95967,CLP
2025-07-12,ANF,PMC,Sky,65333,CLP
2025-07-15,ANF,IQQ,LATAM,92540,CLP
2025-07-07,CJC,LSC,JetSmart,24895,CLP
2025-08-12,IQQ,LSC,LATAM,113754,CLP
2025-07-10,ANF,IQQ,JetSmart,58395,CLP
2025-07-29,SCL,CJC,Sky,77267,CLP
2025-07-29,CJC,IQQ,JetSmart,132683,CLP
2025-07-15,CJC,ANF,Sky,137949,CLP
2025-07-13,IQQ,LSC,Sky,136026,CLP
2025-07-19,PMC,LSC,JetSmart,124749,CLP
2025-07-11,ANF,LSC,LATAM,80536,CLP
2025-07-04,LSC,PMC,Sky,41893,CLP
2025-08-15,CJC,SCL,Sky,36987,CLP
2025-07-11,IQQ,CJC,JetSmart,53626,CLP
2025-07-28,SCL,IQQ,Sky,106641,CLP
2025-07-02,PMC,SCL,Sky,146598,CLP
2025-07-24,ANF,CJC,LATAM,113281,CLP
2025-07-15,SCL,PMC,LATAM,102894,CLP
2025-07-10,ANF,SCL,Sky,138851,CLP
2025-08-14,ANF,CJC,Sky,16376,CLP
2025-07-06,SCL,PMC,LATAM,54195,CLP
2025-08-05,LSC,CJC,JetSmart,125953,CLP
2025-07-08,IQQ,ANF,Sky,46941,CLP
2025-07-04,ANF,CJC,JetSmart,134829,CLP
2025-07-05,SCL,CJC,JetSmart,19308,CLP
2025-08-10,CJC,LSC,LATAM,52637,CLP
2025-07-19,PMC,SCL,JetSmart,107488,CLP
2025-07-16,CJC,PMC,LATAM,37443,CLP
2025-08-03,IQQ,SCL,JetSmart,147992,CLP
2025-08-02,CJC,SCL,Sky,138243,CLP
2025-07-03,LSC,PMC,Sky,81492,CLP
2025-07-02,IQQ,SCL,Sky,78209,CLP
2025-08-12,LSC,SCL,JetSmart,102167,CLP
2025-07-09,SCL,PMC,JetSmart,103748,CLP
2025-08-11,ANF,CJC,JetSmart,140444,CLP
2025-08-10,ANF,IQQ,LATAM,134977,CLP
2025-07-03,IQQ,ANF,LATAM,67289,CLP
2025-07-03,IQQ,PMC,JetSmart,119392,CLP
2025-08-04,PMC,IQQ,LATAM,65096,CLP
2025-07-19,IQQ,SCL,JetSmart,102012,CLP
2025-07-18,SCL,PMC,Sky,119863,CLP
2025-07-29,PMC,IQQ,LATAM,145076,CLP
2025-08-14,PMC,IQQ,JetSmart,84919,CLP
2025-07-06,LSC,PMC,LATAM,127881,CLP
2025-08-08,ANF,LSC,Sky,99203,CLP
2025-07-07,SCL,PMC,JetSmart,92500,CLP
2025-07-20,PMC,LSC,JetSmart,126703,CLP
2025-07-11,LSC,PMC,Sky,132212,CLP
2025-07-03,LSC,IQQ,JetSmart,129017,CLP
2025-07-18,LSC,SCL,LATAM,121485,CLP
2025-07-24,CJC,ANF,LATAM,52428,CLP
2025-08-08,LSC,PMC,LATAM,48090,CLP
2025-07-05,ANF,PMC,Sky,115362,CLP
2025-08-06,SCL,LSC,LATAM,132944,CLP
2025-07-24,IQQ,CJC,LATAM,51095,CLP
2025-08-03,IQQ,CJC,Sky,88056,CLP
2025-07-16,SCL,ANF,JetSmart,63771,CLP
2025-08-01,CJC,PMC,JetSmart,45870,CLP
2025-07-17,IQQ,CJC,LATAM,89862,CLP
2025-08-14,PMC,ANF,LATAM,50580,CLP
2025-07-05,PMC,ANF,JetSmart,131683,CLP
2025-07-06,LSC,IQQ,JetSmart,106075,CLP
2025-08-15,SCL,LSC,JetSmart,91116,CLP
2025-07-20,ANF,IQQ,Sky,148367,CLP
2025-07-15,SCL,IQQ,LATAM,77058,CLP
2025-08-01,SCL,PMC,JetSmart,111707,CLP
2025-07-30,CJC,ANF,JetSmart,37600,CLP
2025-07-05,IQQ,CJC,JetSmart,140479,CLP
2025-08-03,PMC,CJC,JetSmart,34333,CLP
2025-07-09,IQQ,SCL,Sky,137115,CLP
2025-08-13,CJC,IQQ,LATAM,62700,CLP
2025-07-09,PMC,LSC,LATAM,47548,CLP
2025-08-03,ANF,PMC,LATAM,57458,CLP
2025-07-21,LSC,ANF,Sky,89461,CLP
2025-07-06,IQQ,ANF,JetSmart,86945,CLP
2025-07-09,LSC,IQQ,JetSmart,39491,CLP
2025-08-02,LSC,ANF,JetSmart,55421,CLP
2025-07-11,LSC,CJC,JetSmart,103504,CLP
2025-08-06,SCL,ANF,LATAM,26917,CLP
2025-08-11,CJC,IQQ,JetSmart,70262,CLP
2025-08-06,PMC,LSC,JetSmart,22939,CLP
2025-08-01,LSC,CJC,Sky,94192,CLP
2025-07-31,ANF,CJC,Sky,133893,CLP
2025-07-05,LSC,SCL,LATAM,130239,CLP
2025-07-27,PMC,CJC,LATAM,104179,CLP
2025-08-08,ANF,PMC,JetSmart,98706,CLP
2025-07-23,PMC,ANF,Sky,149998,CLP
2025-08-05,SCL,PMC,LATAM,137282,CLP
2025-07-08,IQQ,CJC,LATAM,51930,CLP
2025-07-07,SCL,PMC,Sky,124611,CLP
2025-07-16,ANF,PMC,JetSmart,96976,CLP
2025-07-13,ANF,CJC,JetSmart,137372,CLP
2025-08-01,IQQ,CJC,LATAM,38605,CLP
2025-07-26,CJC,PMC,LATAM,71398,CLP
2025-08-07,IQQ,SCL,LATAM,88755,CLP
2025-08-01,CJC,PMC,Sky,17143,CLP
2025-07-07,PMC,ANF,Sky,110886,CLP
2025-07-26,IQQ,SCL,Sky,28410,CLP
2025-08-06,CJC,ANF,Sky,90655,CLP
2025-07-05,PMC,LSC,Sky,88327,CLP
2025-08-09,LSC,CJC,LATAM,48728,CLP
2025-07-07,PMC,IQQ,Sky,110841,CLP
2025-07-10,ANF,LSC,JetSmart,120221,CLP
2025-08-02,SCL,ANF,LATAM,50923,CLP
2025-08-15,IQQ,CJC,JetSmart,134796,CLP
2025-07-10,CJC,LSC,LATAM,100974,CLP
2025-08-09,IQQ,ANF,Sky,93442,CLP
2025-08-07,IQQ,LSC,JetSmart,143410,CLP
2025-08-15,CJC,IQQ,Sky,19361,CLP
2025-07-24,IQQ,SCL,Sky,95655,CLP
2025-08-14,LSC,SCL,JetSmart,139410,CLP
2025-07-17,LSC,CJC,JetSmart,74649,CLP
2025-07-04,CJC,PMC,LATAM,114664,CLP
2025-07-10,LSC,ANF,LATAM,43808,CLP
2025-07-13,SCL,CJC,Sky,124780,CLP
2025-07-10,PMC,ANF,Sky,146548,CLP
2025-08-09,PMC,SCL,JetSmart,51197,CLP
2025-08-03,ANF,LSC,Sky,140402,CLP
2025-08-03,PMC,IQQ,LATAM,135498,CLP
2025-08-04,IQQ,LSC,Sky,84300,CLP
2025-08-09,PMC,ANF,LATAM,88139,CLP
2025-08-05,IQQ,ANF,Sky,90760,CLP
2025-08-15,ANF,CJC,Sky,140777,CLP
2025-07-23,CJC,IQQ,Sky,46948,CLP
2025-08-06,LSC,CJC,Sky,118424,CLP
2025-07-23,ANF,PMC,LATAM,90400,CLP
2025-08-15,SCL,PMC,Sky,82225,CLP
2025-07-31,ANF,IQQ,JetSmart,86075,CLP
2025-08-05,LSC,IQQ,LATAM,43633,CLP
2025-08-09,LSC,CJC,LATAM,78558,CLP
2025-07-04,LSC,CJC,LATAM,76036,CLP
2025-07-04,SCL,CJC,Sky,138837,CLP
2025-07-07,LSC,ANF,LATAM,56403,CLP
2025-07-27,LSC,PMC,Sky,67286,CLP
2025-07-19,IQQ,PMC,JetSmart,30509,CLP
2025-07-06,LSC,CJC,LATAM,24777,CLP
2025-07-12,PMC,ANF,LATAM,119069,CLP
2025-08-01,ANF,PMC,LATAM,17429,CLP
2025-07-20,CJC,LSC,LATAM,102829,CLP
2025-07-19,PMC,LSC,JetSmart,144476,CLP
2025-07-09,CJC,PMC,Sky,65544,CLP
2025-07-08,IQQ,ANF,JetSmart,135301,CLP
2025-08-11,IQQ,ANF,LATAM,103371,CLP
2025-07-19,CJC,ANF,LATAM,121296,CLP
2025-07-28,CJC,IQQ,LATAM,120076,CLP
2025-08-12,SCL,IQQ,LATAM,140161,CLP
2025-07-21,ANF,SCL,Sky,115551,CLP
2025-07-16,PMC,IQQ,Sky,94153,CLP
2025-08-07,LSC,CJC,LATAM,83564,CLP
2025-08-11,IQQ,ANF,LATAM,45991,CLP
2025-07-30,IQQ,ANF,Sky,146732,CLP
2025-08-15,IQQ,SCL,JetSmart,92342,CLP
2025-07-24,CJC,ANF,LATAM,50014,CLP
2025-07-31,ANF,CJC,JetSmart,112943,CLP
2025-07-27,LSC,CJC,Sky,72255,CLP
2025-07-16,LSC,CJC,LATAM,132112,CLP
2025-08-03,LSC,IQQ,LATAM,44414,CLP
2025-07-04,CJC,LSC,LATAM,54282,CLP
2025-07-11,IQQ,LSC,Sky,45471,CLP
2025-08-13,ANF,LSC,Sky,38839,CLP
2025-08-02,PMC,SCL,Sky,49588,CLP
2025-08-02,PMC,CJC,JetSmart,30135,CLP
2025-08-05,PMC,IQQ,JetSmart,20706,CLP
2025-07-26,IQQ,SCL,JetSmart,72121,CLP
2025-08-07,SCL,ANF,Sky,105316,CLP
2025-08-14,SCL,LSC,LATAM,33092,CLP
2025-07-31,SCL,PMC,Sky,62181,CLP
2025-07-09,LSC,PMC,Sky,115264,CLP
